TIMESTEP (H),TIMESTEP (min),Time,Time_sin,Time_cos,day_of_year,Day of Year_sin,Day of Year_cos,day_of_week,Day of Week_sin,Day of Week_cos,To,RHo,I_dir,I_dif,I_gr,v_wind
0.083333333,5,0.083333333,0.029084719,0.99957695,1,0.017213356,0.999851839,1,0.781831482,0.623489802,4.083333333,82,0,0,0,7.9
0.166666667,10,0.166666667,0.054514502,0.998512979,1,0.017213356,0.999851839,1,0.781831482,0.623489802,4.166666667,83,0,0,0,7.7
0.25,15,0.25,0.076283975,0.997086132,1,0.017213356,0.999851839,1,0.781831482,0.623489802,4.25,84,0,0,0,7.5
0.333333333,20,0.333333333,0.09801714,0.995184727,1,0.017213356,0.999851839,1,0.781831482,0.623489802,4.333333333,85,0,0,0,7.3
0.416666667,25,0.416666667,0.119703655,0.992809667,1,0.017213356,0.999851839,1,0.781831482,0.623489802,4.416666667,86,0,0,0,7.1
0.5,30,0.5,0.130526192,0.991444861,1,0.017213356,0.999851839,1,0.781831482,0.623489802,4.5,87,0,0,0,6.9
0.583333333,35,0.583333333,0.152123386,0.98836151,1,0.017213356,0.999851839,1,0.781831482,0.623489802,4.583333333,88,0,0,0,6.7
0.666666667,40,0.666666667,0.173648178,0.984807753,1,0.017213356,0.999851839,1,0.781831482,0.623489802,4.666666667,89,0,0,0,6.5
0.75,45,0.75,0.195090322,0.98078528,1,0.017213356,0.999851839,1,0.781831482,0.623489802,4.75,90,0,0,0,6.3
0.833333333,50,0.833333333,0.216439614,0.976296007,1,0.017213356,0.999851839,1,0.781831482,0.623489802,4.833333333,91,0,0,0,6.1
0.916666667,55,0.916666667,0.237685892,0.97134207,1,0.017213356,0.999851839,1,0.781831482,0.623489802,4.916666667,92,0,0,0,5.9
1,60,1,0.258819045,0.965925826,1,0.017213356,0.999851839,1,0.781831482,0.623489802,5,93,0,0,0,5.7
1.083333333,65,1.083333333,0.279829014,0.960049854,1,0.017213356,0.999851839,1,0.781831482,0.623489802,5.008333333,93.5,0,0,0,5.758333333
1.166666667,70,1.166666667,0.3007058,0.953716951,1,0.017213356,0.999851839,1,0.781831482,0.623489802,5.016666667,94,0,0,0,5.816666667
1.25,75,1.25,0.321439465,0.946930129,1,0.017213356,0.999851839,1,0.781831482,0.623489802,5.025,94.5,0,0,0,5.875
1.333333333,80,1.333333333,0.342020143,0.939692621,1,0.017213356,0.999851839,1,0.781831482,0.623489802,5.033333333,95,0,0,0,5.933333333
1.416666667,85,1.416666667,0.362438038,0.932007869,1,0.017213356,0.999851839,1,0.781831482,0.623489802,5.041666667,95.5,0,0,0,5.991666667
1.5,90,1.5,0.382683432,0.923879533,1,0.017213356,0.999851839,1,0.781831482,0.623489802,5.05,96,0,0,0,6.05
1.583333333,95,1.583333333,0.40274669,0.915311479,1,0.017213356,0.999851839,1,0.781831482,0.623489802,5.058333333,96.5,0,0,0,6.108333333
1.666666667,100,1.666666667,0.422618262,0.906307787,1,0.017213356,0.999851839,1,0.781831482,0.623489802,5.066666667,97,0,0,0,6.166666667
1.75,105,1.75,0.44228869,0.896872742,1,0.017213356,0.999851839,1,0.781831482,0.623489802,5.075,97.5,0,0,0,6.225
1.833333333,110,1.833333333,0.461748613,0.887010833,1,0.017213356,0.999851839,1,0.781831482,0.623489802,5.083333333,98,0,0,0,6.283333333
1.916666667,115,1.916666667,0.480988769,0.876726756,1,0.017213356,0.999851839,1,0.781831482,0.623489802,5.091666667,98.5,0,0,0,6.341666667
2,120,2,0.5,0.866025404,1,0.017213356,0.999851839,1,0.781831482,0.623489802,5.1,99,0,0,0,6.4
2.083333333,125,2.083333333,0.518773258,0.854911871,1,0.017213356,0.999851839,1,0.781831482,0.623489802,5.258333333,99.08333333,0,0,0,6.575
2.166666667,130,2.166666667,0.537299608,0.843391446,1,0.017213356,0.999851839,1,0.781831482,0.623489802,5.416666667,99.16666667,0,0,0,6.75
2.25,135,2.25,0.555570233,0.831469612,1,0.017213356,0.999851839,1,0.781831482,0.623489802,5.575,99.25,0,0,0,6.925
2.333333333,140,2.333333333,0.573576436,0.819152044,1,0.017213356,0.999851839,1,0.781831482,0.623489802,5.733333333,99.33333333,0,0,0,7.1
2.416666667,145,2.416666667,0.591309648,0.806444604,1,0.017213356,0.999851839,1,0.781831482,0.623489802,5.891666667,99.41666667,0,0,0,7.275
2.5,150,2.5,0.608761429,0.79335334,1,0.017213356,0.999851839,1,0.781831482,0.623489802,6.05,99.5,0,0,0,7.45
2.583333333,155,2.583333333,0.625923472,0.779884483,1,0.017213356,0.999851839,1,0.781831482,0.623489802,6.208333333,99.58333333,0,0,0,7.625
2.666666667,160,2.666666667,0.64278761,0.766044443,1,0.017213356,0.999851839,1,0.781831482,0.623489802,6.366666667,99.66666667,0,0,0,7.8
2.75,165,2.75,0.659345815,0.751839807,1,0.017213356,0.999851839,1,0.781831482,0.623489802,6.525,99.75,0,0,0,7.975
2.833333333,170,2.833333333,0.675590208,0.737277337,1,0.017213356,0.999851839,1,0.781831482,0.623489802,6.683333333,99.83333333,0,0,0,8.15
2.916666667,175,2.916666667,0.691513056,0.722363962,1,0.017213356,0.999851839,1,0.781831482,0.623489802,6.841666667,99.91666667,0,0,0,8.325
3,180,3,0.707106781,0.707106781,1,0.017213356,0.999851839,1,0.781831482,0.623489802,7,100,0,0,0,8.5
3.083333333,185,3.083333333,0.722363962,0.691513056,1,0.017213356,0.999851839,1,0.781831482,0.623489802,7.083333333,99.41666667,0,0,0,8.558333333
3.166666667,190,3.166666667,0.737277337,0.675590208,1,0.017213356,0.999851839,1,0.781831482,0.623489802,7.166666667,98.83333333,0,0,0,8.616666667
3.25,195,3.25,0.751839807,0.659345815,1,0.017213356,0.999851839,1,0.781831482,0.623489802,7.25,98.25,0,0,0,8.675
3.333333333,200,3.333333333,0.766044443,0.64278761,1,0.017213356,0.999851839,1,0.781831482,0.623489802,7.333333333,97.66666667,0,0,0,8.733333333
3.416666667,205,3.416666667,0.779884483,0.625923472,1,0.017213356,0.999851839,1,0.781831482,0.623489802,7.416666667,97.08333333,0,0,0,8.791666667
3.5,210,3.5,0.79335334,0.608761429,1,0.017213356,0.999851839,1,0.781831482,0.623489802,7.5,96.5,0,0,0,8.85
3.583333333,215,3.583333333,0.806444604,0.591309648,1,0.017213356,0.999851839,1,0.781831482,0.623489802,7.583333333,95.91666667,0,0,0,8.908333333
3.666666667,220,3.666666667,0.819152044,0.573576436,1,0.017213356,0.999851839,1,0.781831482,0.623489802,7.666666667,95.33333333,0,0,0,8.966666667
